Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote
ETH,USD,Chainlink,Chainlink_ETH/USD,0x10674C8C1aE2072d4a75FE83f1E159425fd84E1D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348
USDC,USD,Chainlink,Chainlink_USDC/USD,0x6213f24332D35519039f2afa7e3BffE105a37d3F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x0000000000000000000000000000000000000348
USDT,USD,Chainlink,Chainlink_USDT/USD,0x587CABe0521f5065b561A6e68c25f338eD037FF9,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x0000000000000000000000000000000000000348
STETH,USD,Chainlink,Chainlink_STETH/USD,0x1B965dB157027423b493328CbddeF2335063897b,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x0000000000000000000000000000000000000348
wstETH,stETH,Lido,Lido_wstETH/stETH,0xd1DD0C964B0d137498C630B8b7fEd1F88631FFF3,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0
wstETH,USD,Cross,Cross_wstETH/USD,0x02dd5B7ab536629d2235276aBCDf8eb3Af9528D7,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000348
ETH,USD,Chronicle,Chronicle_ETH/USD,0x956C9b887cB8779140EED942fa91f51B13Bd1b86,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348
MKR,USD,Chronicle,Chronicle_MKR/USD,0x5c5B67D71559744d5d1DbB2c9C282761919A25Cf,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0x0000000000000000000000000000000000000348
WSTETH,USD,Chronicle,Chronicle_WSTETH/USD,0x9Ee335e15692317A4fAdb221feA0AFfe48953130,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000348
1INCH,ETH,Chainlink,Chainlink_1INCH/ETH,0x0409951BaF30bfAd7EC3c2584CBCB120f816b31B,0x111111111117dc0aa78b770fa6a738034120c302,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
1INCH,USD,Chainlink,Chainlink_1INCH/USD,0x8F63048De9e67B90F43D6879168f49527b795d54,0x111111111117dc0aa78b770fa6a738034120c302,0x0000000000000000000000000000000000000348
AAVE,ETH,Chainlink,Chainlink_AAVE/ETH,0x175eCF37C049c089e44A6C195519f0Ed4368A370,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
AAVE,USD,Chainlink,Chainlink_AAVE/USD,0x86141c87044EBCAf02957a61DEc696722A420119,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x0000000000000000000000000000000000000348
EURA,EUR,Chainlink,Chainlink_EURA/EUR,0x4d0d1B45834e8185e7ddB4aD8Fc64884fa8e6D5D,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x00000000000000000000000000000000000003d2
BAL,ETH,Chainlink,Chainlink_BAL/ETH,0xD671f3e5597a1396Dc427FBbD6B3e3f6C6FD5363,0xba100000625a3754423978a60c9317c58a424e3D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
BAL,USD,Chainlink,Chainlink_BAL/USD,0x404F45046a22b3A4A97F73bAe28231648FDFf11e,0xba100000625a3754423978a60c9317c58a424e3D,0x0000000000000000000000000000000000000348
BTC,USD,Chainlink,Chainlink_BTC/USD,0x0484Df76f561443d93548D86740b5C4A826e5A33,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0000000000000000000000000000000000000348
CBETH,ETH,Chainlink,Chainlink_CBETH/ETH,0xD41641d2D8b3B0DCaEdFab917AA4c140C4dBAb77,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
CRV,ETH,Chainlink,Chainlink_CRV/ETH,0xe7884FEe13B1FB49d5598e68D7B4476D0555f81a,0xD533a949740bb3306d119CC777fa900bA034cd52,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
CRV,USD,Chainlink,Chainlink_CRV/USD,0x9bf043B79b9BEFAF3b9839fFC51dF0c008BEFf9C,0xD533a949740bb3306d119CC777fa900bA034cd52,0x0000000000000000000000000000000000000348
CRVUSD,USD,Chainlink,Chainlink_CRVUSD/USD,0x24eFfF312944A66eE45058550fEBDcc65C9f099e,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,0x0000000000000000000000000000000000000348
CVX,ETH,Chainlink,Chainlink_CVX/ETH,0xBE42faeA74e76CEb62DEfa279bAba3eCfb63B283,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
CVX,USD,Chainlink,Chainlink_CVX/USD,0xF48a85f4bC46b0133C9F733a9B8a1a3C37b5cbEb,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0x0000000000000000000000000000000000000348
DAI,ETH,Chainlink,Chainlink_DAI/ETH,0xBc312189BA9a87093321609af6de6C5A34d51733,0x6b175474e89094c44da98b954eedeac495271d0f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
DAI,USD,Chainlink,Chainlink_DAI/USD,0xBb918933b510CDF9008E0f1B6AFE50A587CD9224,0x6b175474e89094c44da98b954eedeac495271d0f,0x0000000000000000000000000000000000000348
